iati_identifier,source,adm1,lat,long
XM-DAC-41108-1100001582,point/pos,Guéra,11.4895541367293,18.6320821469484
XM-DAC-41108-1100001691,point/pos,Guéra,11.8348720495475,18.1754336450875
XM-DAC-41108-1100001446,point/pos,Barh-El-Gazel,13.4424762112112,17.169153851556
XM-DAC-41108-2000001060,point/pos,Guéra,11.9810132694935,18.0941462187036
XM-DAC-41108-2000003360,point/pos,Kanem,14.9196710052586,15.2996285566838
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2015/92025,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2015/92009,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-CF/EDF/2015/01008,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-CF/EDF/2015/01011,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2015/91008,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-CF/EDF/2015/01004,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2015/92003,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2015/92058,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2015/92037,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2015/92010,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2015/92001,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-CF/EDF/2015/01001,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2015/92006,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-CF/EDF/2015/01013,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2015/92045,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2015/92007,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2015/92024,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-CF/EDF/2015/01012,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2015/92026,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2015/92039,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2015/92028,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-CF/EDF/2015/01007,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2015/92011,point/pos,Borkou,15.454166,18.732207
